 ID,Date,Water Level / Niveau d'eau (m),Grade,Symbol / Symbole,QA/QC,Discharge / Débit (cms),Grade,Symbol / Symbole,QA/QC
02AB006,2015-03-23T00:00:00-05:00,301.984,,,2,31.760,,,1
02AB006,2015-03-23T00:05:00-05:00,301.989,,,2,32.137,,,1
02AB006,2015-03-23T00:10:00-05:00,301.984,,,2,31.760,,,1
02AB006,2015-03-23T00:15:00-05:00,301.984,,,2,31.760,,,1
02AB006,2015-03-23T00:20:00-05:00,301.989,,,2,32.137,,,1
02AB006,2015-03-23T00:25:00-05:00,301.985,,,2,31.835,,,1
02AB006,2015-03-23T00:30:00-05:00,301.988,,,2,32.062,,,1
02AB006,2015-03-23T00:35:00-05:00,301.985,,,2,31.835,,,1
02AB006,2015-03-23T00:40:00-05:00,301.986,,,2,31.911,,,1
02AB006,2015-03-23T00:45:00-05:00,301.987,,,2,31.986,,,1
02AB006,2015-03-23T00:50:00-05:00,301.987,,,2,31.986,,,1
02AB006,2015-03-23T00:55:00-05:00,301.990,,,2,32.213,,,1
02AB006,2015-03-23T01:00:00-05:00,301.989,,,2,32.137,,,1
02AB006,2015-03-23T01:05:00-05:00,301.987,,,2,31.986,,,1
02AB006,2015-03-23T01:10:00-05:00,301.987,,,2,31.986,,,1
02AB006,2015-03-23T01:15:00-05:00,301.986,,,2,31.910,,,1
02AB006,2015-03-23T01:20:00-05:00,301.988,,,2,32.061,,,1
02AB006,2015-03-23T01:25:00-05:00,301.986,,,2,31.910,,,1
02AB006,2015-03-23T01:30:00-05:00,301.989,,,2,32.137,,,1
02AB006,2015-03-23T01:35:00-05:00,301.989,,,2,32.137,,,1
02AB006,2015-03-23T01:40:00-05:00,301.989,,,2,32.137,,,1
02AB006,2015-03-23T01:45:00-05:00,301.983,,,2,31.684,,,1
02AB006,2015-03-23T01:50:00-05:00,301.983,,,2,31.684,,,1
02AB006,2015-03-23T01:55:00-05:00,301.987,,,2,31.986,,,1
02AB006,2015-03-23T02:00:00-05:00,301.986,,,2,31.910,,,1
02AB006,2015-03-23T02:05:00-05:00,301.987,,,2,31.986,,,1
02AB006,2015-03-23T02:10:00-05:00,301.990,,,2,32.212,,,1
02AB006,2015-03-23T02:15:00-05:00,301.987,,,2,31.986,,,1
02AB006,2015-03-23T02:20:00-05:00,301.981,,,2,31.534,,,1
02AB006,2015-03-23T02:25:00-05:00,301.985,,,2,31.835,,,1
02AB006,2015-03-23T02:30:00-05:00,301.986,,,2,31.910,,,1
02AB006,2015-03-23T02:35:00-05:00,301.983,,,2,31.684,,,1
02AB006,2015-03-23T02:40:00-05:00,301.986,,,2,31.910,,,1
02AB006,2015-03-23T02:45:00-05:00,301.989,,,2,32.136,,,1
02AB006,2015-03-23T02:50:00-05:00,301.984,,,2,31.759,,,1
02AB006,2015-03-23T02:55:00-05:00,301.987,,,2,31.985,,,1
02AB006,2015-03-23T03:00:00-05:00,301.987,,,2,31.985,,,1
02AB006,2015-03-23T03:05:00-05:00,301.987,,,2,31.985,,,1
02AB006,2015-03-23T03:10:00-05:00,301.991,,,2,32.288,,,1
02AB006,2015-03-23T03:15:00-05:00,301.988,,,2,32.061,,,1
02AB006,2015-03-23T03:20:00-05:00,301.990,,,2,32.212,,,1
02AB006,2015-03-23T03:25:00-05:00,301.988,,,2,32.061,,,1
02AB006,2015-03-23T03:30:00-05:00,301.990,,,2,32.212,,,1
02AB006,2015-03-23T03:35:00-05:00,301.987,,,2,31.985,,,1
02AB006,2015-03-23T03:40:00-05:00,301.983,,,2,31.684,,,1
02AB006,2015-03-23T03:45:00-05:00,301.990,,,2,32.212,,,1
02AB006,2015-03-23T03:50:00-05:00,301.986,,,2,31.910,,,1
02AB006,2015-03-23T03:55:00-05:00,301.988,,,2,32.060,,,1
02AB006,2015-03-23T04:00:00-05:00,301.990,,,2,32.212,,,1
02AB006,2015-03-23T04:05:00-05:00,301.992,,,2,32.363,,,1
02AB006,2015-03-23T04:10:00-05:00,301.984,,,2,31.759,,,1
02AB006,2015-03-23T04:15:00-05:00,301.993,,,2,32.439,,,1
02AB006,2015-03-23T04:20:00-05:00,301.989,,,2,32.136,,,1
02AB006,2015-03-23T04:25:00-05:00,301.991,,,2,32.287,,,1
02AB006,2015-03-23T04:30:00-05:00,301.997,,,2,32.742,,,1
02AB006,2015-03-23T04:35:00-05:00,301.996,,,2,32.666,,,1
02AB006,2015-03-23T04:40:00-05:00,301.991,,,2,32.287,,,1
02AB006,2015-03-23T04:45:00-05:00,301.997,,,2,32.742,,,1
02AB006,2015-03-23T04:50:00-05:00,301.997,,,2,32.742,,,1
02AB006,2015-03-23T04:55:00-05:00,301.993,,,2,32.438,,,1
02AB006,2015-03-23T05:00:00-05:00,301.988,,,2,32.060,,,1
02AB006,2015-03-23T05:05:00-05:00,301.993,,,2,32.438,,,1
02AB006,2015-03-23T05:10:00-05:00,301.998,,,2,32.818,,,1
02AB006,2015-03-23T05:15:00-05:00,301.995,,,2,32.590,,,1
02AB006,2015-03-23T05:20:00-05:00,301.994,,,2,32.514,,,1
02AB006,2015-03-23T05:25:00-05:00,301.988,,,2,32.060,,,1
02AB006,2015-03-23T05:30:00-05:00,301.987,,,2,31.985,,,1
02AB006,2015-03-23T05:35:00-05:00,301.994,,,2,32.514,,,1
02AB006,2015-03-23T05:40:00-05:00,301.994,,,2,32.514,,,1
02AB006,2015-03-23T05:45:00-05:00,301.994,,,2,32.514,,,1
02AB006,2015-03-23T05:50:00-05:00,301.996,,,2,32.666,,,1
02AB006,2015-03-23T05:55:00-05:00,301.990,,,2,32.211,,,1
02AB006,2015-03-23T06:00:00-05:00,301.988,,,2,32.060,,,1
02AB006,2015-03-23T06:05:00-05:00,301.992,,,2,32.362,,,1
02AB006,2015-03-23T06:10:00-05:00,301.991,,,2,32.287,,,1
02AB006,2015-03-23T06:15:00-05:00,301.994,,,2,32.514,,,1
02AB006,2015-03-23T06:20:00-05:00,301.987,,,2,31.984,,,1
02AB006,2015-03-23T06:25:00-05:00,301.995,,,2,32.590,,,1
02AB006,2015-03-23T06:30:00-05:00,301.993,,,2,32.438,,,1
02AB006,2015-03-23T06:35:00-05:00,301.993,,,2,32.438,,,1
02AB006,2015-03-23T06:40:00-05:00,301.991,,,2,32.286,,,1
02AB006,2015-03-23T06:45:00-05:00,301.995,,,2,32.590,,,1
02AB006,2015-03-23T06:50:00-05:00,301.995,,,2,32.590,,,1
02AB006,2015-03-23T06:55:00-05:00,301.988,,,2,32.060,,,1
02AB006,2015-03-23T07:00:00-05:00,301.989,,,2,32.135,,,1
02AB006,2015-03-23T07:05:00-05:00,301.989,,,2,32.135,,,1
02AB006,2015-03-23T07:10:00-05:00,301.989,,,2,32.135,,,1
02AB006,2015-03-23T07:15:00-05:00,301.994,,,2,32.514,,,1
02AB006,2015-03-23T07:20:00-05:00,301.994,,,2,32.514,,,1
02AB006,2015-03-23T07:25:00-05:00,301.988,,,2,32.059,,,1
02AB006,2015-03-23T07:30:00-05:00,301.995,,,2,32.589,,,1
02AB006,2015-03-23T07:35:00-05:00,301.995,,,2,32.589,,,1
02AB006,2015-03-23T07:40:00-05:00,301.994,,,2,32.513,,,1
02AB006,2015-03-23T07:45:00-05:00,301.993,,,2,32.438,,,1
02AB006,2015-03-23T07:50:00-05:00,301.992,,,2,32.362,,,1
02AB006,2015-03-23T07:55:00-05:00,301.987,,,2,31.984,,,1
02AB006,2015-03-23T08:00:00-05:00,301.994,,,2,32.513,,,1
02AB006,2015-03-23T08:05:00-05:00,301.992,,,2,32.362,,,1
02AB006,2015-03-23T08:10:00-05:00,301.990,,,2,32.210,,,1
02AB006,2015-03-23T08:15:00-05:00,301.992,,,2,32.362,,,1
02AB006,2015-03-23T08:20:00-05:00,301.992,,,2,32.362,,,1
02AB006,2015-03-23T08:25:00-05:00,301.997,,,2,32.741,,,1
02AB006,2015-03-23T08:30:00-05:00,301.994,,,2,32.513,,,1
02AB006,2015-03-23T08:35:00-05:00,301.996,,,2,32.665,,,1
02AB006,2015-03-23T08:40:00-05:00,301.994,,,2,32.513,,,1
02AB006,2015-03-23T08:45:00-05:00,301.991,,,2,32.286,,,1
02AB006,2015-03-23T08:50:00-05:00,301.993,,,2,32.437,,,1
02AB006,2015-03-23T08:55:00-05:00,301.991,,,2,32.286,,,1
02AB006,2015-03-23T09:00:00-05:00,301.994,,,2,32.513,,,1
02AB006,2015-03-23T09:05:00-05:00,301.989,,,2,32.134,,,1
02AB006,2015-03-23T09:10:00-05:00,301.994,,,2,32.513,,,1
02AB006,2015-03-23T09:15:00-05:00,301.993,,,2,32.437,,,1
02AB006,2015-03-23T09:20:00-05:00,301.990,,,2,32.210,,,1
